model,term,r_forward,r_backward,lead_diff,lead_indicator
crfm-gpt2-sm-x1,alt text,0.7164,0.1397,0.5767,1
crfm-gpt2-sm-x1,aria attribute,0.6739,0.1741,0.4997,1
crfm-gpt2-sm-x1,color contrast,-0.0271,0.3566,-0.3837,0
crfm-gpt2-sm-x1,focus indicator,-0.0595,-0.0038,-0.0558,0
crfm-gpt2-sm-x1,heading structure,0.3219,0.066,0.2558,1
crfm-gpt2-sm-x1,keyboard navigation,-0.2775,-0.1485,-0.129,0
crfm-gpt2-sm-x1,landmark region,0.1937,0.8501,-0.6564,0
crfm-gpt2-sm-x1,screen reader,0.3614,0.3386,0.0228,1
crfm-gpt2-sm-x1,skip link,0.5801,0.3846,0.1955,1
