model,term,r_forward,r_backward,lead_diff,lead_indicator
crfm-gpt2-sm-x5,alt text,0.4931,-0.2978,0.7909,1
crfm-gpt2-sm-x5,aria attribute,0.9325,-0.2378,1.1702,1
crfm-gpt2-sm-x5,color contrast,0.5884,-0.2074,0.7959,1
crfm-gpt2-sm-x5,focus indicator,-0.2775,-0.1239,-0.1536,0
crfm-gpt2-sm-x5,heading structure,0.1185,0.4121,-0.2936,0
crfm-gpt2-sm-x5,keyboard navigation,0.651,0.3862,0.2648,1
crfm-gpt2-sm-x5,landmark region,0.7403,0.6535,0.0869,1
crfm-gpt2-sm-x5,screen reader,0.7577,-0.2343,0.992,1
crfm-gpt2-sm-x5,skip link,0.5471,-0.7594,1.3065,1
