model,term,r_forward,r_backward,lead_diff,lead_indicator
pythia-2.8b,alert dialog,-0.1854,0.0653,-0.2508,0
pythia-2.8b,alt text,0.0735,-0.3899,0.4634,1
pythia-2.8b,aria attribute,-0.4328,0.3415,-0.7743,0
pythia-2.8b,audio description,-0.0185,-0.3204,0.3019,1
pythia-2.8b,braille display,-0.3812,-0.3984,0.0172,1
pythia-2.8b,captions closed,0.699,-0.786,1.485,1
pythia-2.8b,cognitive load,0.3769,-0.6488,1.0257,1
pythia-2.8b,color contrast,0.95,-0.5024,1.4524,1
pythia-2.8b,error identification,-0.2659,-0.3607,0.0949,1
pythia-2.8b,eye tracking,-0.1685,-0.1862,0.0176,1
pythia-2.8b,focus indicator,0.2444,-0.2553,0.4997,1
pythia-2.8b,focus management,0.031,-0.4396,0.4705,1
pythia-2.8b,focus trap,-0.1242,-0.3833,0.2591,1
pythia-2.8b,heading structure,0.5469,-0.4351,0.9821,1
pythia-2.8b,high contrast,0.2374,-0.0145,0.252,1
pythia-2.8b,input purpose,-0.1134,-0.4061,0.2927,1
pythia-2.8b,keyboard navigation,-0.3818,-0.1225,-0.2593,0
pythia-2.8b,keyboard shortcut,-0.0322,-0.4527,0.4205,1
pythia-2.8b,live region,-0.1469,-0.433,0.2861,1
pythia-2.8b,motion sensitivity,-0.1486,-0.3417,0.1931,1
pythia-2.8b,non-text content,-0.5334,0.5905,-1.1239,0
pythia-2.8b,orientation support,-0.1367,-0.4977,0.361,1
pythia-2.8b,plain language,-0.2168,0.3728,-0.5896,0
pythia-2.8b,reflow content,-0.582,-0.6071,0.0251,1
pythia-2.8b,screen magnifier,-0.7098,-0.7688,0.059,1
pythia-2.8b,screen reader,-0.2583,-0.3862,0.1278,1
pythia-2.8b,skip link,0.0062,-0.2598,0.2661,1
pythia-2.8b,skip navigation,0.0858,0.6734,-0.5876,0
pythia-2.8b,switch access,-0.0884,-0.6461,0.5577,1
pythia-2.8b,text resize,-0.1482,-0.3806,0.2324,1
pythia-2.8b,text spacing,0.1478,-0.7858,0.9336,1
pythia-2.8b,time limits,-0.1115,-0.4652,0.3536,1
pythia-2.8b,tree grid,0.097,-0.5361,0.6331,1
pythia-2.8b,voice control,-0.6001,0.0595,-0.6596,0
