term,model,checkpoint,eb_star,beh_avg
aria attribute,160m,step0,0.122727,0.0
aria attribute,160m,step0,0.0,0.0
tab order,160m,step0,0.096287,0.25
tab order,160m,step0,0.13062,0.25
form validation,160m,step0,0.106253,0.0
form validation,160m,step0,0.080577,0.0
heading structure,160m,step0,0.183414,0.25
heading structure,160m,step0,0.1549,0.25
focus indicator,160m,step120000,0.709687,0.8333333333333333
focus indicator,160m,step120000,0.712708,0.8333333333333333
color contrast,160m,step120000,0.91652,0.5
color contrast,160m,step120000,0.916666,0.5
aria attribute,160m,step120000,0.846219,0.5833333333333334
aria attribute,160m,step120000,0.0,0.5833333333333334
tab order,160m,step120000,0.916659,0.75
tab order,160m,step120000,0.916667,0.75
form validation,160m,step120000,0.772798,0.41666666666666663
form validation,160m,step120000,0.912286,0.41666666666666663
heading structure,160m,step120000,0.897213,0.3333333333333333
heading structure,160m,step120000,0.750168,0.3333333333333333
focus indicator,160m,step140000,0.763223,0.8333333333333333
focus indicator,160m,step140000,0.664301,0.8333333333333333
color contrast,160m,step140000,0.670201,0.5
color contrast,160m,step140000,0.911404,0.5
aria attribute,160m,step140000,0.852529,0.6666666666666666
aria attribute,160m,step140000,0.0,0.6666666666666666
tab order,160m,step140000,0.915187,0.5833333333333334
tab order,160m,step140000,0.893214,0.5833333333333334
form validation,160m,step140000,0.692459,0.5
form validation,160m,step140000,0.67305,0.5
heading structure,160m,step140000,0.738293,0.25
heading structure,160m,step140000,0.887474,0.25
focus indicator,160m,step143000,0.654718,0.8333333333333333
focus indicator,160m,step143000,0.656559,0.8333333333333333
color contrast,160m,step143000,0.861248,0.6666666666666666
color contrast,160m,step143000,0.881649,0.6666666666666666
aria attribute,160m,step143000,0.844863,0.5833333333333334
aria attribute,160m,step143000,0.0,0.5833333333333334
tab order,160m,step143000,0.611184,1.0
tab order,160m,step143000,0.891475,1.0
form validation,160m,step143000,0.874167,0.5
form validation,160m,step143000,0.818994,0.5
heading structure,160m,step143000,0.620368,0.0
heading structure,160m,step143000,0.84418,0.0
focus indicator,160m,step15000,0.732401,0.9166666666666666
focus indicator,160m,step15000,0.725214,0.9166666666666666
color contrast,160m,step15000,0.643559,0.5
color contrast,160m,step15000,0.583573,0.5
aria attribute,160m,step15000,0.718289,0.5833333333333334
aria attribute,160m,step15000,0.0,0.5833333333333334
tab order,160m,step15000,0.638544,0.5833333333333334
tab order,160m,step15000,0.706344,0.5833333333333334
form validation,160m,step15000,0.696384,0.5833333333333334
form validation,160m,step15000,0.665128,0.5833333333333334
heading structure,160m,step15000,0.723829,0.25
heading structure,160m,step15000,0.710066,0.25
focus indicator,160m,step30000,0.750528,0.8333333333333333
focus indicator,160m,step30000,0.748799,0.8333333333333333
color contrast,160m,step30000,0.57565,0.5
color contrast,160m,step30000,0.622645,0.5
aria attribute,160m,step30000,0.783516,0.6666666666666666
aria attribute,160m,step30000,0.0,0.6666666666666666
tab order,160m,step30000,0.64091,0.5833333333333334
tab order,160m,step30000,0.656802,0.5833333333333334
form validation,160m,step30000,0.728122,0.25
form validation,160m,step30000,0.694703,0.25
heading structure,160m,step30000,0.676877,0.25
heading structure,160m,step30000,0.763606,0.25
focus indicator,160m,step60000,0.743974,0.5
focus indicator,160m,step60000,0.743741,0.5
color contrast,160m,step60000,0.777753,0.5833333333333334
color contrast,160m,step60000,0.687826,0.5833333333333334
aria attribute,160m,step60000,0.765198,0.5
aria attribute,160m,step60000,0.0,0.5
tab order,160m,step60000,0.63782,0.5833333333333334
tab order,160m,step60000,0.620518,0.5833333333333334
form validation,160m,step60000,0.689844,0.25
form validation,160m,step60000,0.627597,0.25
heading structure,160m,step60000,0.651398,0.08333333333333333
heading structure,160m,step60000,0.637169,0.08333333333333333
focus indicator,160m,step90000,0.71808,0.8333333333333333
focus indicator,160m,step90000,0.715148,0.8333333333333333
color contrast,160m,step90000,0.743531,0.5833333333333334
color contrast,160m,step90000,0.706811,0.5833333333333334
aria attribute,160m,step90000,0.832664,0.6666666666666666
aria attribute,160m,step90000,0.0,0.6666666666666666
tab order,160m,step90000,0.637233,0.5833333333333334
tab order,160m,step90000,0.642815,0.5833333333333334
form validation,160m,step90000,0.900725,0.5833333333333334
form validation,160m,step90000,0.850254,0.5833333333333334
heading structure,160m,step90000,0.640043,0.08333333333333333
heading structure,160m,step90000,0.615648,0.08333333333333333
focus indicator,1b,step0,0.069441,0.25
focus indicator,1b,step0,0.073097,0.25
color contrast,1b,step0,0.119511,0.25
color contrast,1b,step0,0.072609,0.25
aria attribute,1b,step0,0.109727,0.0
aria attribute,1b,step0,0.0,0.0
tab order,1b,step0,0.120118,0.25
tab order,1b,step0,0.12417,0.25
form validation,1b,step0,0.145625,0.0
form validation,1b,step0,0.11132,0.0
heading structure,1b,step0,0.15042,0.0
heading structure,1b,step0,0.114349,0.0
focus indicator,1b,step120000,0.636699,0.8333333333333333
focus indicator,1b,step120000,0.700993,0.8333333333333333
color contrast,1b,step120000,0.677114,0.5833333333333334
color contrast,1b,step120000,0.634673,0.5833333333333334
aria attribute,1b,step120000,0.633867,0.8333333333333333
aria attribute,1b,step120000,0.0,0.8333333333333333
tab order,1b,step120000,0.542566,0.75
tab order,1b,step120000,0.551096,0.75
form validation,1b,step120000,0.703397,0.5833333333333334
form validation,1b,step120000,0.626715,0.5833333333333334
heading structure,1b,step120000,0.779845,0.5833333333333334
heading structure,1b,step120000,0.80013,0.5833333333333334
focus indicator,1b,step140000,0.640574,0.8333333333333333
focus indicator,1b,step140000,0.689382,0.8333333333333333
color contrast,1b,step140000,0.686401,0.5
color contrast,1b,step140000,0.617742,0.5
aria attribute,1b,step140000,0.644149,0.75
aria attribute,1b,step140000,0.0,0.75
tab order,1b,step140000,0.615141,0.75
tab order,1b,step140000,0.549276,0.75
form validation,1b,step140000,0.639365,0.5
form validation,1b,step140000,0.528998,0.5
heading structure,1b,step140000,0.742855,0.5
heading structure,1b,step140000,0.806771,0.5
focus indicator,1b,step143000,0.641508,0.6666666666666666
focus indicator,1b,step143000,0.723852,0.6666666666666666
color contrast,1b,step143000,0.633742,0.5
color contrast,1b,step143000,0.637054,0.5
aria attribute,1b,step143000,0.648677,0.75
aria attribute,1b,step143000,0.0,0.75
tab order,1b,step143000,0.525954,0.75
tab order,1b,step143000,0.530712,0.75
form validation,1b,step143000,0.669379,0.5833333333333334
form validation,1b,step143000,0.54452,0.5833333333333334
heading structure,1b,step143000,0.761554,0.5
heading structure,1b,step143000,0.821832,0.5
focus indicator,1b,step15000,0.642538,0.6666666666666666
focus indicator,1b,step15000,0.678447,0.6666666666666666
color contrast,1b,step15000,0.679952,0.25
color contrast,1b,step15000,0.689292,0.25
aria attribute,1b,step15000,0.711512,0.6666666666666666
aria attribute,1b,step15000,0.0,0.6666666666666666
tab order,1b,step15000,0.641861,0.6666666666666666
tab order,1b,step15000,0.650824,0.6666666666666666
form validation,1b,step15000,0.805282,0.5
form validation,1b,step15000,0.740056,0.5
heading structure,1b,step15000,0.774037,0.41666666666666663
heading structure,1b,step15000,0.723292,0.41666666666666663
focus indicator,1b,step30000,0.678219,0.9166666666666666
focus indicator,1b,step30000,0.679821,0.9166666666666666
color contrast,1b,step30000,0.636753,0.41666666666666663
color contrast,1b,step30000,0.658434,0.41666666666666663
aria attribute,1b,step30000,0.653778,0.8333333333333333
aria attribute,1b,step30000,0.0,0.8333333333333333
tab order,1b,step30000,0.571873,0.6666666666666666
tab order,1b,step30000,0.617751,0.6666666666666666
form validation,1b,step30000,0.817376,0.25
form validation,1b,step30000,0.777497,0.25
heading structure,1b,step30000,0.771461,0.3333333333333333
heading structure,1b,step30000,0.656152,0.3333333333333333
focus indicator,1b,step60000,0.651964,0.6666666666666666
focus indicator,1b,step60000,0.676795,0.6666666666666666
color contrast,1b,step60000,0.736229,0.25
color contrast,1b,step60000,0.681328,0.25
aria attribute,1b,step60000,0.661554,0.8333333333333333
aria attribute,1b,step60000,0.0,0.8333333333333333
tab order,1b,step60000,0.54715,0.5833333333333334
tab order,1b,step60000,0.582883,0.5833333333333334
form validation,1b,step60000,0.84081,0.5
form validation,1b,step60000,0.835592,0.5
heading structure,1b,step60000,0.790655,0.3333333333333333
heading structure,1b,step60000,0.809432,0.3333333333333333
focus indicator,1b,step90000,0.716221,0.8333333333333333
focus indicator,1b,step90000,0.751066,0.8333333333333333
color contrast,1b,step90000,0.703222,0.5833333333333334
color contrast,1b,step90000,0.634012,0.5833333333333334
aria attribute,1b,step90000,0.647384,0.8333333333333333
aria attribute,1b,step90000,0.0,0.8333333333333333
tab order,1b,step90000,0.547216,0.8333333333333333
tab order,1b,step90000,0.542991,0.8333333333333333
form validation,1b,step90000,0.813703,0.5833333333333334
form validation,1b,step90000,0.781513,0.5833333333333334
heading structure,1b,step90000,0.782405,0.41666666666666663
heading structure,1b,step90000,0.817779,0.41666666666666663
focus indicator,2.8b,step0,0.15373,0.0
focus indicator,2.8b,step0,0.134716,0.0
color contrast,2.8b,step0,0.18206,0.25
color contrast,2.8b,step0,0.146112,0.25
aria attribute,2.8b,step0,0.128839,0.0
aria attribute,2.8b,step0,0.0,0.0
tab order,2.8b,step0,0.251524,0.0
tab order,2.8b,step0,0.156659,0.0
form validation,2.8b,step0,0.21167,0.0
form validation,2.8b,step0,0.138044,0.0
heading structure,2.8b,step0,0.151977,0.25
heading structure,2.8b,step0,0.118575,0.25
focus indicator,2.8b,step120000,0.873861,1.0
focus indicator,2.8b,step120000,0.876881,1.0
color contrast,2.8b,step120000,0.882698,0.75
color contrast,2.8b,step120000,0.7743,0.75
aria attribute,2.8b,step120000,0.829322,0.8333333333333333
aria attribute,2.8b,step120000,0.0,0.8333333333333333
tab order,2.8b,step120000,0.817849,0.6666666666666666
tab order,2.8b,step120000,0.840125,0.6666666666666666
form validation,2.8b,step120000,0.828426,0.5
form validation,2.8b,step120000,0.912312,0.5
heading structure,2.8b,step120000,0.90104,0.41666666666666663
heading structure,2.8b,step120000,0.867803,0.41666666666666663
focus indicator,2.8b,step140000,0.890713,0.8333333333333333
focus indicator,2.8b,step140000,0.888028,0.8333333333333333
color contrast,2.8b,step140000,0.866509,0.8333333333333333
color contrast,2.8b,step140000,0.805834,0.8333333333333333
aria attribute,2.8b,step140000,0.817818,0.8333333333333333
aria attribute,2.8b,step140000,0.0,0.8333333333333333
tab order,2.8b,step140000,0.834413,0.8666666666666667
tab order,2.8b,step140000,0.844366,0.8666666666666667
form validation,2.8b,step140000,0.804758,0.3333333333333333
form validation,2.8b,step140000,0.896915,0.3333333333333333
heading structure,2.8b,step140000,0.891472,0.5
heading structure,2.8b,step140000,0.870286,0.5
focus indicator,2.8b,step143000,0.894011,0.75
focus indicator,2.8b,step143000,0.866396,0.75
color contrast,2.8b,step143000,0.875318,0.75
color contrast,2.8b,step143000,0.848861,0.75
aria attribute,2.8b,step143000,0.842923,1.0
aria attribute,2.8b,step143000,0.0,1.0
tab order,2.8b,step143000,0.841078,0.75
tab order,2.8b,step143000,0.855893,0.75
form validation,2.8b,step143000,0.750091,0.5
form validation,2.8b,step143000,0.872157,0.5
heading structure,2.8b,step143000,0.906316,0.41666666666666663
heading structure,2.8b,step143000,0.887414,0.41666666666666663
focus indicator,2.8b,step15000,0.901432,1.0
focus indicator,2.8b,step15000,0.918726,1.0
color contrast,2.8b,step15000,0.8422,0.5833333333333334
color contrast,2.8b,step15000,0.837969,0.5833333333333334
aria attribute,2.8b,step15000,0.848609,0.8333333333333333
aria attribute,2.8b,step15000,0.0,0.8333333333333333
tab order,2.8b,step15000,0.894672,1.0
tab order,2.8b,step15000,0.858192,1.0
form validation,2.8b,step15000,0.894928,0.6666666666666666
form validation,2.8b,step15000,0.923674,0.6666666666666666
heading structure,2.8b,step15000,0.919605,0.5
heading structure,2.8b,step15000,0.859437,0.5
focus indicator,2.8b,step30000,0.910592,1.0
focus indicator,2.8b,step30000,0.891569,1.0
color contrast,2.8b,step30000,0.857284,0.8333333333333333
color contrast,2.8b,step30000,0.893429,0.8333333333333333
aria attribute,2.8b,step30000,0.843544,0.8333333333333333
aria attribute,2.8b,step30000,0.0,0.8333333333333333
tab order,2.8b,step30000,0.852533,0.6666666666666666
tab order,2.8b,step30000,0.826459,0.6666666666666666
form validation,2.8b,step30000,0.884764,0.3333333333333333
form validation,2.8b,step30000,0.901351,0.3333333333333333
heading structure,2.8b,step30000,0.912961,0.41666666666666663
heading structure,2.8b,step30000,0.91503,0.41666666666666663
focus indicator,2.8b,step60000,0.924339,0.9166666666666666
focus indicator,2.8b,step60000,0.91451,0.9166666666666666
color contrast,2.8b,step60000,0.873618,0.8333333333333333
color contrast,2.8b,step60000,0.839502,0.8333333333333333
aria attribute,2.8b,step60000,0.862686,0.8333333333333333
aria attribute,2.8b,step60000,0.0,0.8333333333333333
tab order,2.8b,step60000,0.86596,0.8666666666666667
tab order,2.8b,step60000,0.879284,0.8666666666666667
form validation,2.8b,step60000,0.879731,0.5
form validation,2.8b,step60000,0.9194,0.5
heading structure,2.8b,step60000,0.928189,0.5833333333333333
heading structure,2.8b,step60000,0.903091,0.5833333333333333
focus indicator,2.8b,step90000,0.908632,0.9166666666666666
focus indicator,2.8b,step90000,0.896536,0.9166666666666666
color contrast,2.8b,step90000,0.879923,0.75
color contrast,2.8b,step90000,0.790366,0.75
aria attribute,2.8b,step90000,0.929761,0.75
aria attribute,2.8b,step90000,0.0,0.75
tab order,2.8b,step90000,0.88458,0.8666666666666667
tab order,2.8b,step90000,0.891613,0.8666666666666667
form validation,2.8b,step90000,0.751438,0.5
form validation,2.8b,step90000,0.90297,0.5
heading structure,2.8b,step90000,0.890137,0.41666666666666663
heading structure,2.8b,step90000,0.887402,0.41666666666666663
